               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.037758,            0.014775,           0.0050101,            0.027778,             0.33333,            0.050665,            0.006224,            0.073621,              1.8943,             0.23212,           0.0091395,           0.0091395,           0.0091395
                 115,            0.041107,            0.015319,           0.0053658,            0.030303,             0.66667,             0.18091,            0.018516,            0.074805,              2.5035,             0.22287,           0.0091318,           0.0091318,           0.0091318
                 116,            0.044324,            0.020296,           0.0042361,           0.0066667,             0.33333,            0.020101,           0.0036522,            0.068638,               3.558,             0.22923,           0.0091242,           0.0091242,           0.0091242
                 117,              0.0409,            0.012815,           0.0093015,            0.016667,             0.33333,            0.055278,           0.0074673,            0.062871,              2.4452,             0.19356,           0.0091166,           0.0091166,           0.0091166
                 118,            0.047622,            0.012225,            0.003445,            0.019608,             0.33333,            0.050119,           0.0058921,            0.068242,              1.9496,             0.20778,            0.009109,            0.009109,            0.009109
                 119,            0.044534,            0.013828,            0.002281,             0.37407,             0.66667,             0.44222,            0.046255,            0.071425,               1.685,             0.21874,           0.0091014,           0.0091014,           0.0091014
                 120,            0.048718,            0.016771,           0.0045358,              0.3675,             0.66667,            0.051329,           0.0066216,             0.06798,              1.5214,             0.23846,           0.0090938,           0.0090938,           0.0090938
                 121,            0.048826,            0.015098,           0.0051573,             0.35417,             0.33333,            0.060542,           0.0077134,            0.059859,              1.6814,             0.20952,           0.0090862,           0.0090862,           0.0090862
                 122,            0.043076,             0.01611,           0.0032242,            0.011905,             0.33333,            0.042749,           0.0053252,            0.063961,              2.0611,             0.23679,           0.0090785,           0.0090785,           0.0090785
                 123,            0.049987,            0.017205,           0.0057339,            0.011905,             0.33333,              0.3392,            0.034154,            0.062326,              1.6054,             0.41436,           0.0090709,           0.0090709,           0.0090709
                 124,            0.042866,            0.013954,            0.015802,            0.041414,             0.66667,            0.056857,            0.008237,            0.074477,              1.6932,             0.18557,           0.0090633,           0.0090633,           0.0090633
                 125,             0.04453,            0.017104,           0.0015061,            0.055195,             0.66667,            0.096183,           0.0099403,            0.075489,              2.0574,             0.21441,           0.0090557,           0.0090557,           0.0090557
                 126,            0.045338,            0.018208,           0.0031152,             0.39931,             0.66667,             0.12801,            0.017904,            0.075175,              1.9896,             0.20156,           0.0090481,           0.0090481,           0.0090481
                 127,            0.041614,            0.014188,           0.0025099,             0.38889,             0.33333,            0.076088,           0.0082119,            0.074065,              1.7363,             0.15293,           0.0090405,           0.0090405,           0.0090405
                 128,            0.049708,            0.012938,            0.004919,             0.42593,             0.66667,             0.13819,            0.014428,            0.069362,              1.6093,             0.14013,           0.0090328,           0.0090328,           0.0090328
                 129,            0.043778,            0.018073,           0.0051596,             0.36111,             0.33333,            0.077389,            0.011271,            0.054327,              1.4238,             0.15001,           0.0090252,           0.0090252,           0.0090252
                 130,            0.048437,             0.01671,           0.0044349,             0.35717,             0.66667,             0.37905,            0.071968,            0.048395,             0.58532,             0.18249,           0.0090176,           0.0090176,           0.0090176
                 131,            0.037377,            0.014889,           0.0011918,              0.5636,             0.33333,             0.33576,            0.067152,            0.056239,             0.12349,             0.21154,             0.00901,             0.00901,             0.00901
                 132,            0.047698,            0.013945,           0.0017569,             0.68938,             0.33333,            0.031228,           0.0031228,            0.065172,            0.030732,             0.16421,           0.0090024,           0.0090024,           0.0090024
                 133,            0.049919,            0.017253,           0.0020247,            0.006648,             0.33333,            0.010699,           0.0010699,             0.06755,            0.025964,             0.11752,           0.0089948,           0.0089948,           0.0089948
                 134,             0.04512,            0.016134,           0.0026072,             0.55687,             0.33333,             0.35076,            0.035076,            0.065899,             0.04077,            0.071134,           0.0089872,           0.0089872,           0.0089872
                 135,            0.040715,            0.014368,           0.0049353,            0.095142,             0.66667,             0.13728,            0.024783,            0.062006,            0.078976,            0.069425,           0.0089795,           0.0089795,           0.0089795
                 136,            0.050798,            0.016084,           0.0017563,           0.0099235,                   1,            0.017609,           0.0021861,            0.056568,            0.092225,            0.076782,           0.0089719,           0.0089719,           0.0089719
                 137,            0.044812,            0.012859,           0.0012572,              0.6931,             0.33333,            0.060016,           0.0081943,            0.055403,            0.083456,             0.07699,           0.0089643,           0.0089643,           0.0089643
                 138,            0.046082,            0.015806,             0.00104,             0.68727,             0.33333,            0.055278,           0.0056632,            0.052583,            0.083609,             0.09948,           0.0089567,           0.0089567,           0.0089567
                 139,            0.052306,            0.011029,           0.0020363,             0.68888,             0.33333,            0.066333,            0.007777,            0.046555,            0.089992,             0.13371,           0.0089491,           0.0089491,           0.0089491
                 140,            0.039396,            0.013209,           0.0013875,             0.68778,             0.33333,            0.036852,            0.011391,             0.04324,            0.093411,             0.18212,           0.0089415,           0.0089415,           0.0089415
                 141,            0.043656,            0.014203,           0.0017195,             0.68892,             0.33333,            0.082917,            0.012866,            0.045814,            0.076153,             0.20928,           0.0089338,           0.0089338,           0.0089338
                 142,            0.044721,            0.015521,           0.0014819,           0.0022005,             0.33333,           0.0053495,          0.00053495,            0.056014,            0.061655,             0.23064,           0.0089262,           0.0089262,           0.0089262
                 143,            0.039449,            0.016648,           0.0017022,             0.70547,             0.33333,            0.047381,           0.0047381,            0.059765,            0.056846,             0.21619,           0.0089186,           0.0089186,           0.0089186
                 144,            0.045572,            0.020255,           0.0024254,             0.71397,             0.33333,              0.1145,            0.011845,            0.056645,            0.053102,             0.17524,            0.008911,            0.008911,            0.008911
                 145,            0.040014,            0.012137,           0.0024149,              0.7531,             0.33333,             0.18965,             0.02024,             0.05609,            0.047716,             0.12931,           0.0089034,           0.0089034,           0.0089034
                 146,            0.042177,            0.014524,            0.003359,             0.78727,             0.33333,              0.1791,               0.018,               0.056,            0.037092,            0.099095,           0.0088958,           0.0088958,           0.0088958
                 147,            0.035821,            0.012243,           0.0018783,              0.8221,             0.33333,             0.17064,            0.034804,             0.05794,             0.02569,            0.084408,           0.0088882,           0.0088882,           0.0088882
                 148,            0.034882,            0.014856,           0.0032773,              0.8151,             0.33333,             0.17812,            0.035204,            0.057914,            0.021709,             0.07985,           0.0088805,           0.0088805,           0.0088805
                 149,            0.041009,            0.015325,           0.0018319,             0.54487,             0.66667,             0.33167,            0.051355,            0.053899,            0.020016,            0.089316,           0.0088729,           0.0088729,           0.0088729
