               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,             0.19987,            0.011026,                   0,                   1,             0.96786,             0.99449,             0.95747,             0.22291,           0.0062753,                   0,           0.0094005,           0.0094005,           0.0094005
                 111,             0.19761,            0.010263,                   0,             0.99401,                   1,               0.995,             0.94951,             0.23068,           0.0060133,                   0,            0.009395,            0.009395,            0.009395
                 112,             0.20618,            0.010286,                   0,             0.99385,                   1,               0.995,             0.93485,             0.22597,           0.0053538,                   0,           0.0093895,           0.0093895,           0.0093895
                 113,             0.19937,            0.010448,                   0,             0.99715,                   1,               0.995,             0.96079,             0.21885,           0.0049777,                   0,            0.009384,            0.009384,            0.009384
                 114,             0.19922,            0.010095,                   0,             0.99696,                   1,               0.995,             0.95638,             0.22225,           0.0055725,                   0,           0.0093785,           0.0093785,           0.0093785
                 115,             0.19242,           0.0098976,                   0,             0.99364,                   1,               0.995,             0.94744,             0.22772,           0.0069606,                   0,            0.009373,            0.009373,            0.009373
                 116,             0.19411,           0.0092442,                   0,              0.9955,                   1,               0.995,             0.96722,             0.22059,           0.0048674,                   0,           0.0093675,           0.0093675,           0.0093675
                 117,             0.19718,           0.0092282,                   0,             0.99702,             0.98649,             0.99487,             0.95243,             0.23097,           0.0055644,                   0,            0.009362,            0.009362,            0.009362
                 118,             0.19135,           0.0093449,                   0,              0.9968,                   1,               0.995,             0.95779,              0.2235,           0.0049542,                   0,           0.0093565,           0.0093565,           0.0093565
                 119,             0.19022,           0.0092847,                   0,             0.99651,                   1,               0.995,             0.96686,             0.22063,           0.0055579,                   0,            0.009351,            0.009351,            0.009351
                 120,             0.18965,           0.0092507,                   0,                   1,             0.97578,             0.99425,             0.95388,             0.22343,           0.0064688,                   0,           0.0093455,           0.0093455,           0.0093455
                 121,             0.19698,           0.0095959,                   0,             0.99694,                   1,               0.995,             0.96234,             0.22648,             0.00738,                   0,             0.00934,             0.00934,             0.00934
                 122,             0.19132,           0.0094919,                   0,                   1,             0.98609,             0.99487,             0.97154,             0.22119,           0.0067352,                   0,           0.0093345,           0.0093345,           0.0093345
                 123,             0.19474,           0.0095737,                   0,             0.99761,                   1,               0.995,             0.94711,              0.2255,           0.0050869,                   0,            0.009329,            0.009329,            0.009329
                 124,             0.19443,           0.0095539,                   0,             0.99728,                   1,               0.995,             0.95681,             0.22287,           0.0056627,                   0,           0.0093235,           0.0093235,           0.0093235
                 125,             0.19049,           0.0092257,                   0,             0.99621,                   1,               0.995,             0.96783,              0.2204,           0.0056798,                   0,            0.009318,            0.009318,            0.009318
                 126,              0.1852,           0.0092033,                   0,             0.99652,                   1,               0.995,             0.95733,             0.22063,           0.0071678,                   0,           0.0093125,           0.0093125,           0.0093125
                 127,             0.18943,           0.0088729,                   0,             0.99583,                   1,               0.995,             0.96294,             0.22513,           0.0058226,                   0,            0.009307,            0.009307,            0.009307
                 128,             0.19108,            0.009427,                   0,             0.99521,                   1,               0.995,              0.9721,             0.21782,           0.0065853,                   0,           0.0093015,           0.0093015,           0.0093015
                 129,             0.19472,           0.0093365,                   0,             0.99798,                   1,               0.995,             0.94822,             0.22273,           0.0073456,                   0,            0.009296,            0.009296,            0.009296
                 130,             0.19073,           0.0093671,                   0,             0.99638,                   1,               0.995,             0.94879,              0.2257,            0.006041,                   0,           0.0092905,           0.0092905,           0.0092905
                 131,              0.1861,           0.0095264,                   0,             0.94284,             0.98649,             0.98889,             0.95794,             0.22285,           0.0054393,                   0,            0.009285,            0.009285,            0.009285
                 132,             0.18683,           0.0090004,                   0,             0.99632,                   1,               0.995,             0.95719,             0.22367,           0.0052293,                   0,           0.0092795,           0.0092795,           0.0092795
                 133,             0.20485,           0.0098484,                   0,             0.99733,                   1,               0.995,             0.96881,             0.22213,            0.004931,                   0,            0.009274,            0.009274,            0.009274
                 134,               0.193,           0.0097669,                   0,             0.99612,                   1,               0.995,             0.95891,             0.22231,           0.0046575,                   0,           0.0092685,           0.0092685,           0.0092685
                 135,             0.18991,           0.0095572,                   0,             0.99735,                   1,               0.995,             0.97233,             0.21602,           0.0052556,                   0,            0.009263,            0.009263,            0.009263
                 136,             0.18899,           0.0094209,                   0,             0.99551,                   1,               0.995,             0.95517,             0.22098,           0.0057044,                   0,           0.0092575,           0.0092575,           0.0092575
                 137,              0.1929,           0.0093188,                   0,             0.98661,             0.99586,              0.9938,             0.97022,             0.22437,           0.0069805,                   0,            0.009252,            0.009252,            0.009252
                 138,             0.19072,           0.0096592,                   0,             0.99667,                   1,               0.995,             0.95224,             0.22459,           0.0068862,                   0,           0.0092465,           0.0092465,           0.0092465
                 139,             0.18733,           0.0093016,                   0,              0.9958,                   1,               0.995,              0.9562,              0.2255,           0.0060731,                   0,            0.009241,            0.009241,            0.009241
                 140,              0.1873,           0.0093844,                   0,             0.99717,                   1,               0.995,             0.96287,             0.22087,             0.00567,                   0,           0.0092355,           0.0092355,           0.0092355
                 141,             0.19745,           0.0095572,                   0,             0.99578,                   1,               0.995,             0.96663,             0.22016,            0.005134,                   0,             0.00923,             0.00923,             0.00923
                 142,             0.18926,           0.0096269,                   0,             0.99609,                   1,               0.995,             0.96082,             0.22505,           0.0053083,                   0,           0.0092245,           0.0092245,           0.0092245
                 143,             0.19596,           0.0096779,                   0,             0.99665,                   1,               0.995,             0.95367,             0.22232,           0.0082237,                   0,            0.009219,            0.009219,            0.009219
                 144,              0.2032,           0.0096371,                   0,             0.99728,                   1,               0.995,             0.97025,             0.21985,           0.0055625,                   0,           0.0092135,           0.0092135,           0.0092135
